Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bxgx,1,1,1,0,0,0,0,0,1,1,0,0
siapa yang telat memberi tau kamu xdxn sxrxp gue bergaul dengan cigax jifla calis sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0
41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
aku itu aku ku tau matamu sxpxt tapi dilihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
kaum cxbxng kxfxr sudah kelihatan dongoknya dari awal tambah dxngx lagi haha,1,1,0,1,1,0,0,0,0,0,1,0
ya bxnx txplxk dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue baru saja selesai re watch aldnoah zero paling kxmprxt memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau di doket mana itu gerai rozak mertuaku taipan 2 depan kembar baby amp romantika bank islam senawang di,0,0,0,0,0,0,0,0,0,0,0,0
enak lagi kalau sambil ngxwx,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bxcxt kamu,1,1,1,0,0,0,0,0,1,1,0,0
bxncx kaleng malu tidak bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe,1,1,1,0,0,0,0,1,0,1,0,0
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
bu guru enakan jadi jxblxy atau guru sekolah dasar sih kayaknya menikmati jadi pxcxn ini guru,1,1,1,0,0,0,0,1,0,1,0,0
lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing xntx gue mengakui hadis nabi dan itu sahih kxfxr kayak kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan ini kok pikiran xmpxs banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari sama beki adalah rapi mxnyxt,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowok itu harus gantle kalau tidak gantle itu namanya bxncx,1,1,0,1,0,0,0,1,0,0,1,0
alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
xnjxng ya tapi gue jarang mengambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
kalau kamu nxxb pasti peluang disakiti nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0
joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0
pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapapun gubernur dan presidennya rakyatnya ya kitaa2 juga,0,0,0,0,0,0,0,0,0,0,0,0
ini sih kerjaannya delay mulu sxtxn,1,1,0,1,0,0,0,0,1,0,1,0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0
partai kxmxnxs indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
itu adalah sudah nenek nenek saya heran sama cxbxng biasanya bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
islam nusantara produk jil dipasarkan dengan gencar oleh xntxk jil sementara jil anti arab tapi pro xsxng kata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
dari habis sahur sampai jam 10 si bayi sudah nxtx empat kali sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0
